id;V_no;name;river;VHM_no;gaps_hourly;obsbeg_day;obsend_day;obsbeg_hr;obsend_hr;typimpact;degimpact;elevation;lat;lon;geometry
35;V71;brú;Hverfisfljót;71;;1981;2005;-1;-1;E;s;43;377856;562040;POINT (562040 377856)
36;V335;Fremstaver;Hvítá;235;62.58423300089376;1985;2021;2005;2021;D;l;278;438015;456087;POINT (456087 438015)
37;V66;Kljáfoss;Hvítá;66;0.0;1951;2023;2005;2021;F;u;21;467888;385015;POINT (385015 467888)
38;V468;Hólmsárfoss;Hólmsá;468;0.0;1984;2024;2005;2023;F;u;185;356409;513933;POINT (513933 356409)
39;V185;Gunnarshólmi;Hólmsá;185;0.0;1972;2023;2005;2021;F;u;90;401198;368978;POINT (368978 401198)
40;V577;Þauli;Hólmsá;577;0.0;2009;2018;2009;2018;F;u;125;350982;519037;POINT (519037.59 350982.89)
41;V517;Djúpárbakki;Hörgsá;517;;2007;2020;-1;-1;F;u;13;584960;535282;POINT (535282 584960)
42;V110;Hjarðarhagi;Jökulsá á Dal;110;;1963;2005;-1;-1;F;u;143;545116;688620;POINT (688620 545116)
43;14418;Hálslón Reservoir Calculated Inflow;Jökulsá á Dal;-1;;2007;2024;-1;-1;F;u;608;497743;651634;POINT (651634.9 497743.6)
44;V236;Kálfseyrarvað;Jökulsá á Dal;164;0.0;1986;2006;2005;2006;F;u;366;515877;661726;POINT (661726 515877)
45;V102;Grímsstaðir;Jökulsá á Fjöllum;102;0.0;1965;2023;2005;2020;F;u;368;572370;629451;POINT (629451 572370)
46;V289;Upptyppingar II;Jökulsá á Fjöllum;162;0.6667801611621836;1972;2023;2005;2021;F;u;556;509665;631179;POINT (631179 509665)
47;V109;Hóll;Jökulsá í Fljótsdal;109;0.0;1962;2008;2005;2008;F;u;63;503961;684578;POINT (684578.2 503961.1)
