YYYY;MM;DD;qobs;qc_flag
1963;1;6;;250.0
1963;1;7;;250.0
1963;1;8;;250.0
1963;1;9;;250.0
1963;1;10;;250.0
1963;1;11;;250.0
1963;1;12;;250.0
1963;1;13;;250.0
1963;1;14;;250.0
1963;1;15;;250.0
1963;1;16;;250.0
1963;1;17;;250.0
1963;1;18;;250.0
1963;1;19;102.29;40.0
1963;1;20;104.35;40.0
1963;1;21;108.21;40.0
1963;1;22;112.82;40.0
1963;1;23;99.12;40.0
1963;1;24;101.35;40.0
1963;1;25;89.11;40.0
1963;1;26;106.06;40.0
1963;1;27;117.56;40.0
1963;1;28;148.98;40.0
1963;1;29;129.84;40.0
1963;1;30;;250.0
1963;1;31;;250.0
1963;2;1;;250.0
1963;2;2;;250.0
1963;2;3;;250.0
1963;2;4;;250.0
1963;2;5;;250.0
1963;2;6;;250.0
1963;2;7;;250.0
1963;2;8;;250.0
1963;2;9;;250.0
1963;2;10;;250.0
1963;2;11;;250.0
1963;2;12;106.22;40.0
1963;2;13;106.0;40.0
1963;2;14;104.11;40.0
1963;2;15;103.55;40.0
1963;2;16;102.5;40.0
1963;2;17;100.96;40.0
1963;2;18;99.4;40.0
1963;2;19;96.88;40.0
1963;2;20;95.99;40.0
1963;2;21;93.95;40.0
1963;2;22;93.68;40.0
1963;2;23;90.64;40.0
1963;2;24;92.21;40.0
1963;2;25;122.56;40.0
1963;2;26;112.37;40.0
1963;2;27;101.41;40.0
1963;2;28;226.05;100.0
1963;3;1;343.14;100.0
1963;3;2;423.5;100.0
1963;3;3;653.98;100.0
1963;3;4;758.08;100.0
1963;3;5;619.68;40.0
1963;3;6;375.96;40.0
1963;3;7;249.75;40.0
1963;3;8;194.57;40.0
1963;3;9;173.35;40.0
1963;3;10;155.44;40.0
1963;3;11;139.77;40.0
1963;3;12;133.44;40.0
1963;3;13;130.21;40.0
1963;3;14;125.65;40.0
1963;3;15;128.4;40.0
1963;3;16;142.32;40.0
1963;3;17;149.25;40.0
1963;3;18;144.03;40.0
1963;3;19;138.93;40.0
1963;3;20;138.03;40.0
1963;3;21;126.4;40.0
1963;3;22;123.97;40.0
1963;3;23;133.9;40.0
1963;3;24;158.44;40.0
1963;3;25;150.16;40.0
1963;3;26;138.39;40.0
1963;3;27;126.61;40.0
1963;3;28;119.27;40.0
1963;3;29;117.22;40.0
1963;3;30;116.03;40.0
1963;3;31;116.82;40.0
1963;4;1;114.53;40.0
1963;4;2;113.35;40.0
1963;4;3;116.7;40.0
1963;4;4;142.08;40.0
1963;4;5;191.36;40.0
1963;4;6;213.65;40.0
1963;4;7;223.44;40.0
1963;4;8;208.55;40.0
1963;4;9;184.5;40.0
1963;4;10;;250.0
1963;4;11;;250.0
1963;4;12;;250.0
1963;4;13;;250.0
1963;4;14;;250.0
1963;4;15;;250.0
1963;4;16;;250.0
1963;4;17;;250.0
1963;4;18;;250.0
1963;4;19;;250.0
1963;4;20;168.7;40.0
1963;4;21;151.27;40.0
1963;4;22;182.09;40.0
1963;4;23;220.38;40.0
1963;4;24;228.6;40.0
1963;4;25;232.68;40.0
1963;4;26;281.52;40.0
