YYYY;MM;DD;qobs;qc_flag
1953;2;26;58.24;40.0
1953;2;27;62.97;40.0
1953;2;28;67.85;40.0
1953;3;1;73.63;40.0
1953;3;2;74.37;40.0
1953;3;3;75.85;40.0
1953;3;4;76.6;40.0
1953;3;5;76.6;40.0
1953;3;6;76.6;40.0
1953;3;7;76.6;40.0
1953;3;8;75.85;40.0
1953;3;9;75.85;40.0
1953;3;10;441.04;40.0
1953;3;11;339.53;40.0
1953;3;12;114.36;40.0
1953;3;13;109.94;40.0
1953;3;14;105.59;40.0
1953;3;15;101.32;40.0
1953;3;16;101.32;40.0
1953;3;17;152.5;40.0
1953;3;18;246.36;40.0
1953;3;19;261.02;40.0
1953;3;20;276.04;40.0
1953;3;21;282.14;40.0
1953;3;22;291.4;40.0
1953;3;23;223.62;40.0
1953;3;24;177.67;40.0
1953;3;25;152.5;40.0
1953;3;26;129.04;40.0
1953;3;27;107.32;40.0
1953;3;28;87.38;40.0
1953;3;29;68.56;40.0
1953;3;30;67.14;40.0
1953;3;31;66.44;40.0
1953;4;1;65.74;40.0
1953;4;2;65.74;40.0
1953;4;3;65.74;40.0
1953;4;4;65.74;40.0
1953;4;5;73.63;40.0
1953;4;6;70.71;40.0
1953;4;7;67.85;40.0
1953;4;8;65.04;40.0
1953;4;9;62.97;40.0
1953;4;10;60.92;40.0
1953;4;11;58.24;40.0
1953;4;12;56.27;40.0
1953;4;13;56.27;40.0
1953;4;14;56.27;40.0
1953;4;15;56.27;40.0
1953;4;16;59.58;40.0
1953;4;17;69.99;40.0
1953;4;18;81.14;40.0
1953;4;19;97.13;40.0
1953;4;20;98.79;40.0
1953;4;21;100.47;40.0
1953;4;22;102.17;40.0
1953;4;23;93.01;40.0
1953;4;24;79.61;40.0
1953;4;25;73.63;40.0
1953;4;26;69.99;40.0
1953;4;27;67.85;40.0
1953;4;28;65.74;40.0
1953;4;29;63.65;40.0
1953;4;30;63.65;40.0
1953;5;1;70.71;40.0
1953;5;2;78.1;40.0
1953;5;3;85.02;40.0
1953;5;4;168.03;40.0
1953;5;5;147.47;40.0
1953;5;6;128.1;40.0
1953;5;7;124.37;40.0
1953;5;8;120.69;40.0
1953;5;9;117.96;40.0
1953;5;10;114.36;40.0
1953;5;11;104.73;40.0
1953;5;12;95.47;40.0
1953;5;13;87.38;40.0
1953;5;14;82.68;40.0
1953;5;15;78.1;40.0
1953;5;16;73.63;40.0
1953;5;17;69.28;40.0
1953;5;18;72.89;40.0
1953;5;19;76.6;40.0
1953;5;20;80.38;40.0
1953;5;21;85.8;40.0
1953;5;22;91.39;40.0
1953;5;23;97.13;40.0
1953;5;24;103.87;40.0
1953;5;25;110.82;40.0
1953;5;26;117.96;40.0
1953;5;27;126.23;40.0
1953;5;28;122.52;40.0
1953;5;29;119.77;40.0
1953;5;30;117.05;40.0
1953;5;31;114.36;40.0
1953;6;1;111.7;40.0
1953;6;2;108.19;40.0
1953;6;3;105.59;40.0
1953;6;4;105.59;40.0
1953;6;5;109.94;40.0
1953;6;6;114.36;40.0
1953;6;7;130.92;40.0
1953;6;8;120.69;40.0
1953;6;9;110.82;40.0
1953;6;10;101.32;40.0
1953;6;11;101.32;40.0
1953;6;12;101.32;40.0
1953;6;13;101.32;40.0
1953;6;14;101.32;40.0
1953;6;15;97.13;40.0
1953;6;16;93.01;40.0
1953;6;17;88.98;40.0
1953;6;18;97.13;40.0
1953;6;19;191.25;40.0
1953;6;20;426.39;40.0
1953;6;21;497.79;40.0
1953;6;22;501.67;40.0
1953;6;23;533.19;40.0
1953;6;24;501.67;40.0
